year,month,day,book,chapter,verses
2013,11,03,1 Samuel,6
2013,11,03,Proverbs,3
2013,11,04,1 Samuel,7
2013,11,04,Proverbs,4
2013,11,05,Proverbs,5
2013,11,06,Proverbs,6
2013,11,07,Proverbs,7
2013,11,08,Proverbs,8
2013,11,09,Proverbs,9
2013,11,10,Proverbs,10
2013,11,11,Proverbs,11
2013,11,12,Proverbs,12
2013,11,13,Proverbs,13
2013,11,14,Proverbs,14
2013,11,15,Proverbs,15
2013,11,16,Proverbs,16
2013,11,17,Proverbs,17
2013,11,18,Proverbs,18
2013,11,19,Proverbs,19
2013,11,20,Proverbs,20
2013,11,21,Proverbs,21
2013,11,22,Proverbs,22
2013,11,23,Proverbs,23
2013,11,24,Proverbs,24
2013,11,25,Proverbs,25
2013,11,26,Proverbs,26
2013,11,27,Proverbs,27
2013,11,04,1 Samuel,4
2013,11,05,1 Samuel,5
2013,11,06,1 Samuel,6
2013,11,07,1 Samuel,7
2013,11,08,1 Samuel,8
2013,11,09,1 Samuel,9
2013,11,10,1 Samuel,10
2013,11,11,1 Samuel,11
2013,11,12,1 Samuel,12
2013,11,13,1 Samuel,13
2013,11,14,1 Samuel,14
2013,11,15,1 Samuel,15
2013,11,16,1 Samuel,16
2013,11,17,1 Samuel,17
2013,11,18,1 Samuel,18
2013,11,19,1 Samuel,19
2013,11,20,1 Samuel,20
2013,11,21,1 Samuel,21
2013,11,22,1 Samuel,22
2013,11,23,1 Samuel,23
2013,11,24,1 Samuel,24
2013,11,25,1 Samuel,25
2013,11,26,1 Samuel,26
2013,11,27,1 Samuel,27
